Course,Section,Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Other,GPA,TermCode
AAA201, A,Mannur Anita,0,0,5,2,3,4,1,1,1,1,0,0,1,1,2.75,201110
AAA207, A,Zhai Jiexia,0,1,3,2,1,0,0,3,3,0,0,0,0,0,2.75,201110
ACC221,AA,Wiegand Daniel G.,2,12,4,6,3,1,3,1,0,0,1,0,2,1,3.21,201110
ACC221,AB,Wiegand Daniel G.,0,9,5,5,5,2,3,0,0,2,0,0,2,2,3.06,201110
ACC221,AC,Wiegand Daniel G.,4,7,2,3,8,4,2,1,2,0,0,0,1,1,3.12,201110
ACC221,AD,Wiegand Daniel G.,0,5,2,6,5,5,3,1,1,2,1,0,1,0,2.81,201110
ACC221,AE,Wiegand Daniel G.,0,5,3,5,1,4,4,5,2,1,0,0,1,1,2.75,201110
ACC221,AF,Wiegand Daniel G.,0,3,5,6,6,4,0,2,4,1,1,0,0,2,2.88,201110
ACC221,AG,Wiegand Daniel G.,1,5,5,6,3,0,4,2,3,3,0,0,1,0,2.83,201110
ACC221,BA,Wiegand Daniel G.,0,11,6,8,2,2,2,0,3,1,0,0,0,0,3.29,201110
ACC221,BB,Wiegand Daniel G.,0,6,3,4,1,6,2,5,2,3,1,0,1,0,2.66,201110
ACC221,BC,Wiegand Daniel G.,0,5,4,2,5,2,4,4,0,1,4,1,1,3,2.58,201110
ACC221,BD,Wiegand Daniel G.,1,6,3,5,3,1,4,2,2,3,0,1,0,4,2.85,201110
ACC221,BE,Wiegand Daniel G.,0,5,4,5,2,2,4,4,1,1,2,1,1,3,2.68,201110
ACC221,BF,Wiegand Daniel G.,2,11,6,8,2,2,1,2,0,0,0,2,1,0,3.24,201110
ACC221,BG,Wiegand Daniel G.,0,4,3,1,9,6,6,3,1,0,0,1,1,0,2.74,201110
ACC221,CA,Wiegand Daniel G.,0,2,1,6,5,5,6,4,0,2,1,0,3,1,2.44,201110
ACC221,CB,Wiegand Daniel G.,0,1,3,4,5,5,3,1,1,1,3,0,2,4,2.47,201110
ACC221,CC,Wiegand Daniel G.,0,1,0,4,8,1,4,2,3,2,1,1,2,3,2.29,201110
ACC221,CD,Wiegand Daniel G.,0,1,2,2,3,3,4,6,3,2,3,1,1,3,2.18,201110
ACC221,CE,Wiegand Daniel G.,1,2,2,5,3,5,4,5,2,1,1,0,1,1,2.6,201110
ACC221,CF,Wiegand Daniel G.,0,4,4,6,3,3,6,2,1,2,1,1,0,2,2.77,201110
ACC221,CG,Wiegand Daniel G.,1,3,7,1,5,5,7,1,2,0,0,0,0,1,2.98,201110
ACC221,DA,Wiegand Daniel G.,1,2,1,3,5,0,4,3,2,2,1,0,3,5,2.33,201110
ACC221,DB,Wiegand Daniel G.,0,1,2,5,2,3,7,3,1,2,1,1,1,1,2.42,201110
ACC221,DE,Wiegand Daniel G.,0,4,4,3,3,6,4,0,1,4,1,0,1,1,2.68,201110
ACC221,DF,Wiegand Daniel G.,0,2,7,2,6,3,4,5,2,1,1,0,1,0,2.69,201110
ACC221,DG,Wiegand Daniel G.,0,3,3,7,6,2,4,0,2,4,2,0,1,1,2.63,201110
ACC222, A,Collins Ronald G.,2,13,7,10,13,7,10,8,13,2,1,0,1,2,2.78,201110
ACC222, B,Collins Ronald G.,0,16,5,5,11,4,10,5,8,3,0,1,1,1,2.81,201110
ACC321, A,Hock Clayton A.,0,5,1,1,12,2,2,6,1,0,2,0,0,2,2.77,201110
ACC321, B,Hock Clayton A.,0,4,0,3,7,2,2,11,0,0,0,0,1,3,2.63,201110
ACC321, C,Katerakis James K.,1,0,4,6,5,7,7,3,0,2,1,0,0,1,2.73,201110
ACC321, D,Katerakis James K.,0,1,0,3,6,7,9,2,3,1,2,0,0,4,2.47,201110
ACC321, E,Casey Ryan J.,0,0,2,3,18,7,4,1,1,0,1,0,0,2,2.81,201110
ACC321, F,Casey Ryan J.,0,6,5,2,5,7,5,7,0,0,0,0,0,1,2.93,201110
ACC321, G,Easterday Kathryn E.,1,4,3,0,2,8,1,1,0,0,2,0,0,10,2.95,201110
ACC321, H,Easterday Kathryn E.,1,2,4,1,5,3,1,4,0,0,1,0,0,10,2.93,201110
ACC333, A,Heitger Dan L.,0,4,4,3,13,4,2,6,1,0,0,0,0,0,2.94,201110
ACC333, B,Heitger Dan L.,0,1,7,3,7,6,2,7,2,0,0,0,0,1,2.83,201110
ACC333, C,Brewer Peter C.,0,5,1,3,8,1,2,8,4,1,0,1,0,5,2.64,201110
ACC333, D,Brewer Peter C.,1,8,4,1,9,3,1,7,1,0,1,0,0,2,3.01,201110
ACC333, E,Collins Ronald G.,0,5,3,7,7,3,2,2,3,0,0,0,1,2,2.94,201110
ACC343, A,Porcano Thomas M.,0,2,0,3,2,0,2,10,2,0,0,1,0,11,2.39,201110
ACC343, B,Porcano Thomas M.,1,3,2,2,8,2,1,8,2,2,0,0,0,4,2.7,201110
ACC343, C,Porcano Thomas M.,0,6,1,1,7,0,2,6,1,2,0,1,0,8,2.73,201110
ACC343, D,Schultz Thomas D.,0,2,2,3,11,4,5,7,1,0,0,0,0,1,2.75,201110
ACC343, F,Ames Roger D.,0,3,0,0,19,0,0,10,0,0,4,0,0,1,2.58,201110
ACC343, G,Schultz Thomas D.,0,2,3,4,6,4,7,6,0,0,0,0,0,3,2.79,201110
ACC361, A,Eighme Jan E.,0,1,0,4,12,2,3,10,1,0,0,0,0,2,2.64,201110
ACC361, B,Eighme Jan E.,0,5,2,3,16,2,3,2,0,0,1,0,0,0,3.02,201110
ACC361, C,Eighme Jan E.,0,3,1,3,17,6,2,3,2,0,0,0,0,1,2.89,201110
ACC361, D,Stoel Michael D.,0,2,3,2,14,2,7,5,0,0,0,0,0,1,2.83,201110
ACC361, E,Stoel Michael D.,0,4,3,6,7,4,4,4,1,0,0,1,0,2,2.89,201110
ACC422, A,Eighme Jan E.,0,8,2,3,9,2,2,6,1,1,2,0,0,0,2.87,201110
ACC422, B,Cottell Philip G.,1,1,2,3,1,7,0,4,1,1,1,0,1,1,2.57,201110
ACC422, C,Cottell Philip G.,1,7,2,4,5,2,0,5,2,1,2,0,1,3,2.8,201110
ACC422, D,Cottell Philip G.,2,3,4,5,6,5,3,2,0,1,0,0,1,0,2.97,201110
ACC453, A,Ballou Brian J.,0,6,8,2,6,7,4,1,3,0,0,0,0,0,3.06,201110
ACC453, B,Reffett Andrew B.,0,4,8,7,11,2,0,2,0,1,1,0,0,1,3.15,201110
ACC453, C,Grenier Jonathan H.,0,5,1,11,10,5,1,1,0,0,0,0,0,1,3.17,201110
ACC453, D,Grenier Jonathan H.,0,4,7,4,12,3,3,2,1,0,0,0,0,1,3.11,201110
ACC456, A,Katerakis James K.,6,20,5,1,0,0,0,0,0,0,0,0,0,1,3.93,201110
ACC461,VA,Hock Clayton A.,0,1,9,2,13,1,2,2,1,0,0,0,0,2,3.09,201110
ACC463,ZA,Hock Clayton A.,0,12,2,2,12,2,2,0,1,0,0,0,0,2,3.32,201110
ACC477, C,Eaton Timothy V.,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,201110
ACC622, A,Rubin Marc A.,0,5,4,9,7,0,0,0,0,0,0,0,0,0,3.42,201110
ACC653, A,Reffett Andrew B.,0,7,10,5,2,1,0,0,0,0,0,0,0,0,3.61,201110
ACC655, A,Ballou Brian J.,0,4,10,6,5,0,0,0,0,0,0,0,0,0,3.51,201110
AER101, A,Church Christopher R.,2,5,9,15,11,4,4,1,0,0,0,0,1,0,3.19,201110
AER118, A,Schroeder Tom C.,0,10,0,0,49,0,0,29,0,0,6,2,0,5,2.63,201110
AER118, B,Schroeder Tom C.,0,1,1,1,12,0,0,7,0,0,1,0,1,3,2.58,201110
AER253, A,Schroeder Tom C.,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,201110
AES110, A,Loede Trisha M.,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,201110
AES121, A,Loede Trisha M.,1,7,5,4,0,0,0,0,0,0,0,0,0,1,3.75,201110
AES121, B,Loede Trisha M.,3,3,3,2,0,2,0,0,0,0,0,0,0,1,3.62,201110
AES210, A,Loede Trisha M.,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,201110
AES221, B,Hamant William B.,0,1,3,3,4,1,1,0,0,0,0,0,0,0,3.23,201110
AES310, A,Loede Trisha M.,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,201110
AES331, A,Loede Trisha M.,8,3,1,2,2,0,0,0,0,0,0,0,0,0,3.77,201110
AES431, A,Loede Trisha M.,0,5,2,0,6,1,0,0,0,0,0,0,0,0,3.44,201110
AMS111, A,Poirier Lisa J.,0,2,4,2,1,0,0,0,0,0,0,0,0,3,3.6,201110
AMS180A, A,Garner Sandra L.,5,11,0,0,1,0,0,0,0,0,0,0,0,2,3.94,201110
AMS205, A,Godeanu-Kenworthy Oana,0,10,9,2,7,4,5,3,3,0,0,0,0,4,3.12,201110
AMS205, B,Shaffer Marguerite S.,0,4,7,8,7,9,3,2,0,2,0,0,1,2,2.96,201110
AMS205, C,Williams Kristen A.,4,2,5,11,6,6,3,1,0,1,1,0,2,6,2.96,201110
AMS205, D,Sheumaker Helen D.,0,5,15,11,7,3,3,1,0,1,0,0,1,2,3.21,201110
AMS205, E,Williams Kristen A.,1,3,5,10,4,1,2,1,0,3,0,0,1,7,2.99,201110
AMS205, F,Metcalf Eugene W.,0,2,4,7,14,8,5,4,0,0,2,2,0,1,2.76,201110
AMS205, G,Hamlin Kimberly A.,0,4,16,7,9,6,1,2,4,0,0,0,1,1,3.09,201110
AMS205, H,Scott Damon,1,5,14,3,7,7,0,2,0,0,0,0,1,2,3.24,201110
AMS205, I,Stevens Charles J.,0,5,10,8,10,10,1,0,0,0,0,0,1,1,3.17,201110
AMS205, J,Metcalf Eugene W.,0,1,3,12,16,11,2,1,0,0,0,0,0,5,3.02,201110
AMS205, K,Garner Sandra L.,12,15,7,5,3,0,1,0,1,0,0,0,0,2,3.71,201110
AMS205H, A,Quinn Kelly,0,7,13,0,0,0,0,0,0,0,0,0,0,1,3.81,201110
AMS205H, B,Williams Kristen A.,2,5,5,7,1,0,0,0,0,0,0,0,0,0,3.63,201110
AMS206, A,Williams Peter W.,0,5,5,4,5,3,1,0,1,0,0,0,1,0,3.15,201110
AMS301, A,Quinn Kelly,0,8,5,1,8,2,1,2,1,0,0,0,1,1,3.14,201110
AMS302, A,Godeanu-Kenworthy Oana,0,1,4,3,5,3,1,0,2,1,0,0,1,0,2.8,201110
AMS401, A,Hamlin Kimberly A.,0,5,2,3,1,0,0,0,1,0,1,0,0,0,3.31,201110
ARB101, A,Abu-Attiyeh Saeda N.,0,8,4,1,5,1,0,0,3,0,0,0,0,0,3.31,201110
ARB101, B,Yousef Saleh I.,1,6,4,1,4,2,1,0,0,1,0,0,0,0,3.36,201110
ARB101, C,Yousef Saleh I.,0,5,5,1,0,2,0,0,0,0,0,0,0,1,3.63,201110
ARB201, A,Yousef Saleh I.,0,2,4,0,0,3,0,0,0,0,0,0,0,1,3.43,201110
ARB201, B,Yousef Saleh I.,0,5,0,2,4,0,1,0,0,0,0,0,0,2,3.41,201110
ARB301, A,Bergman Elizabeth M.,0,1,2,2,1,2,2,0,0,0,0,0,0,0,3.1,201110
ARC101, A,Rogero Mary R.,0,0,10,19,22,17,2,2,0,0,0,0,1,0,3.02,201110
ARC113, A,Humphries John M.,0,6,21,8,3,0,0,0,0,0,0,0,0,0,3.61,201110
ARC113, B,Humphries John M.,0,6,16,10,2,0,1,0,0,0,0,0,0,1,3.56,201110
ARC188, A,Johnston Scott A.,7,22,24,21,69,48,15,31,5,6,8,2,6,10,2.78,201110
ARC201, A,Elliott J. E.,0,3,7,13,11,11,3,0,0,1,0,0,0,0,3.1,201110
ARC203, A,Cevik Gulen,1,3,4,5,3,2,0,0,0,0,0,1,0,0,3.28,201110
ARC212, A,Elliott J. E.,30,17,6,8,13,2,5,2,3,2,1,2,1,1,3.33,201110
ARC213, A,Brady Conor D.,1,2,12,10,9,5,0,0,0,0,0,0,0,0,3.33,201110
ARC213, B,Brady Conor D.,0,1,5,8,10,2,1,0,0,0,1,0,1,0,3.02,201110
ARC221, A,Benson Robert A.,0,3,15,7,28,20,6,15,7,5,2,4,5,13,2.53,201110
ARC225, A,Jacks Bennett M.,0,3,2,6,3,0,3,1,0,0,0,0,0,0,3.17,201110
ARC301, A,Paranandi Murali,0,13,12,8,7,4,2,0,1,0,0,0,0,0,3.42,201110
